threads;blocks;steps;sp;ep
256;1;10000000;1,738334894180298;0,006790370680392
256;2;10000000;3,404502153396606;0,006649418268353
256;3;10000000;4,886169433593750;0,006362199783325
256;4;10000000;3,453310251235962;0,003372373292223
256;5;10000000;4,225287914276123;0,003301006276160
256;1;50000000;1,775115370750427;0,006934044416994
256;2;50000000;3,832137584686279;0,007484643720090
256;3;50000000;5,707015037536621;0,007431009318680
256;4;50000000;3,956885337829590;0,003864145837724
256;5;50000000;4,902959823608398;0,003830437315628
256;1;100000000;1,994650363922119;0,007791602984071
256;2;100000000;4,451507568359375;0,008694350719452
256;3;100000000;6,663315296173096;0,008676191791892
256;4;100000000;4,630053520202637;0,004521536640823
256;5;100000000;5,927850723266602;0,004631133284420
256;1;500000000;2,477699041366577;0,009678511880338
256;2;500000000;4,987442016601562;0,009741097688675
256;3;500000000;7,471633434295654;0,009728689678013
256;4;500000000;5,155597686767578;0,005034763365984
256;5;500000000;6,437778949737549;0,005029514897615
512;1;10000000;2,502227067947388;0,004887162242085
512;2;10000000;4,755746841430664;0,004644284024835
512;3;10000000;6,618535995483398;0,004308942705393
512;4;10000000;4,591780662536621;0,002242080401629
512;5;10000000;5,425853729248047;0,002119474112988
512;1;50000000;2,565904140472412;0,005011531524360
512;2;50000000;5,072334766387939;0,004953451920301
512;3;50000000;7,491846561431885;0,004877504426986
512;4;50000000;5,076076507568359;0,002478552982211
512;5;50000000;6,225781440734863;0,002431945875287
512;1;100000000;2,572825193405151;0,005025049205869
512;2;100000000;5,116558551788330;0,004996639210731
512;3;100000000;7,607782840728760;0,004952983465046
512;4;100000000;5,119939804077148;0,002499970607460
512;5;100000000;6,334227085113525;0,002474307548255
512;1;500000000;2,577656745910645;0,005034485831857
512;2;500000000;5,152245521545410;0,005031489767134
512;3;500000000;7,471633434295654;0,005021043121815
512;4;500000000;5,148820877075195;0,002514072693884
512;5;500000000;6,428268432617188;0,002511042403057
1024;1;10000000;2,478650569915771;0,002420557197183
1024;2;10000000;4,485808372497559;0,002190336119384
1024;3;10000000;5,769683837890625;0,001878152252175
1024;4;10000000;4,564236164093018;0,001114315469749
1024;5;10000000;4,522362709045410;0,000883273954969
1024;1;50000000;2,561478376388550;0,002501443726942
1024;2;50000000;5,018543243408203;0,002450460568070
1024;3;50000000;7,237291336059570;0,002355889184400
1024;4;50000000;5,092520236968994;0,001243291073479
1024;5;50000000;6,136041641235352;0,001198445679620
1024;1;100000000;2,571625232696533;0,002511352766305
1024;2;100000000;5,086687088012695;0,002483733929694
1024;3;100000000;7,468808650970459;0,002431252738461
1024;4;100000000;5,128781795501709;0,001252143993042
1024;5;100000000;6,360621929168701;0,001242308993824
1024;1;500000000;2,576986551284790;0,002516588428989
1024;2;500000000;5,146780490875244;0,002513076411560
1024;3;500000000;7,691880702972412;0,002503867493942
1024;4;500000000;5,147882938385010;0,001256807358004
1024;5;500000000;6,429320335388184;0,001255726674572

